,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
564,38585406,41369191,5000,5000,5000.0,36 months,16.49,177.0,D,D3,10+ years,MORTGAGE,41056.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,19.37,0,01/10/2007,1,31,7,14,0.0,0.0,679.88,679.88,442.17,237.71,0.0,0.0,0.0,01/05/2021,153.46,01/12/2021,0.0,1,INDIVIDUAL,2021
577,38585176,41368951,10500,10500,10500.0,60 months,15.59,253.06,D,D1,10+ years,MORTGAGE,145000.0,Source Verified,2021-01-01,Charged Off,n,other,30.23,0,01/05/1984,0,31,15,29,0.0,0.0,1247.11,1247.11,598.59,648.52,0.0,0.0,0.0,01/06/2021,253.06,01/01/2022,2.0,1,INDIVIDUAL,2021
590,38584817,41368569,25000,25000,25000.0,36 months,8.67,514.97,B,B1,10+ years,RENT,118000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.62,0,01/12/1985,0,48,5,30,0.0,0.0,1017.9,1017.9,671.11,346.79,0.0,0.0,0.0,01/03/2021,514.97,01/02/2021,0.0,1,INDIVIDUAL,2021
613,38584146,41367860,7500,7500,7500.0,36 months,6.99,231.55,A,A3,10+ years,MORTGAGE,45000.0,Not Verified,2021-01-01,Charged Off,n,home_improvement,8.02,0,01/11/1999,0,39,21,80,0.0,0.0,1386.39,1386.39,1143.72,242.67,0.0,0.0,0.0,01/07/2021,231.55,01/01/2022,0.0,1,INDIVIDUAL,2021
634,38575663,41359459,13050,12000,13050.0,60 months,13.507328482328484,345.68,E,E3,6 years,MORTGAGE,43000.0,Source Verified,2021-01-01,Charged Off,n,car,36.98,0,01/03/2002,2,31,14,23,0.0,0.0,3022.27,3022.27,258.71,418.16,0.0,2345.4,422.172,01/03/2021,345.68,01/08/2021,0.0,1,INDIVIDUAL,2021
708,38565594,41349408,23550,23550,23550.0,36 months,15.59,823.19,D,D1,< 1 year,MORTGAGE,59000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.46,0,01/01/1987,0,31,15,36,0.0,0.0,3272.36,3272.36,2109.61,1162.75,0.0,0.0,0.0,01/05/2021,823.19,01/01/2022,0.0,1,INDIVIDUAL,2021
744,38556129,41339944,12000,12000,12000.0,36 months,12.39,400.82,C,C1,10+ years,RENT,75000.0,Not Verified,2021-01-01,Charged Off,n,credit_card,24.26,1,01/07/2004,1,13,12,33,0.0,0.0,2453.14,2453.14,1705.0,748.14,0.0,0.0,0.0,01/07/2021,400.82,01/01/2022,0.0,1,INDIVIDUAL,2021
789,38554987,41338759,10000,10000,10000.0,36 months,15.99,351.53,D,D2,10+ years,RENT,52000.0,Source Verified,2021-01-01,Charged Off,n,other,37.03,0,01/01/1995,2,79,22,37,0.0,0.0,2120.61,2120.61,1354.08,766.53,0.0,0.0,0.0,01/07/2021,363.36,01/01/2022,0.0,1,INDIVIDUAL,2021
807,38554314,41338041,30000,30000,30000.0,36 months,15.99,1054.57,D,D2,9 years,RENT,130000.0,Source Verified,2021-01-01,Charged Off,n,other,22.3,0,01/12/2001,1,57,15,44,0.0,0.0,7328.69,7328.69,4771.1,2557.59,0.0,0.0,0.0,01/08/2021,1054.57,01/01/2022,0.0,1,INDIVIDUAL,2021
824,38545894,41329676,6425,6425,6425.0,36 months,15.99,225.86,D,D2,10+ years,MORTGAGE,27600.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,30.61,0,01/09/1995,0,73,11,36,0.0,0.0,1151.5,1151.5,720.17,431.33,0.0,0.0,0.0,01/07/2021,225.86,01/12/2021,0.0,1,INDIVIDUAL,2021
835,38545696,41329474,24000,24000,24000.0,60 months,15.99,583.51,D,D2,10+ years,MORTGAGE,89600.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,21.64,1,01/02/1999,1,0,14,25,0.0,0.0,2896.23,2896.23,1354.16,1542.07,0.0,0.0,0.0,01/06/2021,583.51,01/03/2021,0.0,1,INDIVIDUAL,2021
866,38544952,41328715,25000,25000,25000.0,36 months,16.49,884.99,D,D3,10+ years,OWN,85000.0,Verified,2021-01-01,Charged Off,n,credit_card,12.78,0,01/09/1993,2,31,13,29,0.0,0.0,5264.13,5264.13,3362.36,1901.77,0.0,0.0,0.0,01/07/2021,884.99,01/01/2022,0.0,1,INDIVIDUAL,2021
871,38544832,41328586,20000,20000,20000.0,36 months,17.14,714.45,D,D4,8 years,MORTGAGE,115000.0,Verified,2021-01-01,Charged Off,n,home_improvement,17.84,0,01/12/2002,4,31,17,21,0.0,0.0,4267.66,4267.66,2666.34,1601.32,0.0,0.0,0.0,01/07/2021,714.45,01/01/2022,0.0,1,INDIVIDUAL,2021
874,38544687,41328431,16000,16000,16000.0,60 months,16.49,393.27,D,D3,3 years,RENT,39000.0,Source Verified,2021-01-01,Charged Off,n,credit_card,35.69,0,01/02/2008,0,31,11,14,0.0,0.0,2330.3,2330.3,1076.82,1253.48,0.0,0.0,0.0,01/07/2021,393.27,01/01/2022,0.0,1,INDIVIDUAL,2021
897,38544129,41327843,10000,10000,10000.0,36 months,14.31,343.29,C,C4,10+ years,OWN,30000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.28,0,01/08/2004,0,33,7,18,0.0,0.0,2387.13,2387.13,1625.51,761.62,0.0,0.0,0.0,01/08/2021,343.29,01/01/2022,1.0,1,INDIVIDUAL,2021
949,38535078,41318856,12800,12800,12550.0,60 months,14.31,299.9,C,C4,6 years,RENT,40000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,21.3,0,01/08/2005,0,31,10,20,0.0,0.0,881.35,864.14,447.07,432.28,2.0,0.0,0.0,01/06/2021,1.0,01/01/2022,0.0,1,INDIVIDUAL,2021
959,38534746,41318496,13100,13100,13100.0,60 months,21.99,361.74,E,E5,10+ years,OWN,30000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,30.08,0,01/11/1965,0,31,8,23,0.0,0.0,1414.95,1414.95,500.27,914.68,0.0,0.0,0.0,01/05/2021,361.74,01/02/2021,0.0,1,INDIVIDUAL,2021
967,38534642,41318387,16000,16000,16000.0,60 months,13.507328482328484,405.08,D,D5,2 years,RENT,48000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,23.94,0,01/10/2007,4,31,15,16,0.0,0.0,3244.57,3244.57,166.95,198.44,0.0,2879.18,518.2524,01/02/2021,405.08,01/07/2021,0.0,1,INDIVIDUAL,2021
984,38516117,41309929,10000,10000,10000.0,60 months,16.49,245.8,D,D3,3 years,OWN,50400.0,Source Verified,2021-01-01,Charged Off,n,other,33.62,0,01/07/2005,0,31,6,13,0.0,0.0,1219.84,1219.84,557.02,662.82,0.0,0.0,0.0,01/06/2021,245.8,01/01/2022,0.0,1,INDIVIDUAL,2021
1001,38515718,41309521,10375,10375,10375.0,36 months,17.86,374.36,D,D5,5 years,RENT,29000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,31.08,0,01/10/2004,0,29,26,63,0.0,0.0,2545.52,2545.52,443.16,295.27,0.0,1807.09,325.2762,01/03/2021,374.36,01/08/2021,0.0,1,INDIVIDUAL,2021
1057,38506322,41300134,20575,20575,20575.0,36 months,12.39,687.23,C,C1,1 year,RENT,92500.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,9.42,0,01/04/1986,1,31,14,16,0.0,0.0,3421.32,3421.32,2641.86,779.46,0.0,0.0,0.0,01/05/2021,687.23,01/01/2022,0.0,1,INDIVIDUAL,2021
1083,38505576,41299366,20000,20000,20000.0,36 months,15.99,703.05,D,D2,< 1 year,MORTGAGE,58000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,23.69,2,01/09/2005,1,1,15,32,0.0,0.0,4200.53,4200.53,2708.12,1492.41,0.0,0.0,0.0,01/07/2021,703.05,01/01/2022,0.0,1,INDIVIDUAL,2021
1092,38505266,41299048,25000,25000,25000.0,60 months,19.99,662.21,E,E3,10+ years,MORTGAGE,135000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,31.63,0,01/10/1995,2,31,18,50,0.0,0.0,4579.94,4579.94,1808.66,2771.28,0.0,0.0,0.0,01/08/2021,662.21,01/01/2022,0.0,1,INDIVIDUAL,2021
1104,38505068,41298840,16000,16000,16000.0,36 months,7.49,497.63,A,A4,3 years,OWN,162000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,7.62,0,01/06/2002,1,31,13,27,0.0,0.0,1977.2,1977.2,1606.01,371.19,0.0,0.0,0.0,01/05/2021,497.63,01/12/2021,0.0,1,INDIVIDUAL,2021
1195,38486189,41279993,18000,18000,18000.0,36 months,13.66,415.67,C,C3,2 years,MORTGAGE,97500.0,Not Verified,2021-01-01,Charged Off,n,home_improvement,1.16,0,01/07/1985,1,65,5,33,0.0,0.0,2896.03,2896.03,1526.74,1369.29,0.0,0.0,0.0,01/08/2021,415.67,01/01/2022,0.0,1,INDIVIDUAL,2021
1214,38485707,41279504,25000,25000,25000.0,60 months,15.99,607.82,D,D2,3 years,MORTGAGE,90000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,5.2,0,01/10/2003,0,36,10,24,0.0,0.0,4232.53,4232.53,2001.46,2231.07,0.0,0.0,0.0,01/08/2021,607.82,01/01/2022,0.0,1,INDIVIDUAL,2021
1217,38485678,41279474,12000,12000,12000.0,60 months,16.49,294.96,D,D3,8 years,MORTGAGE,32500.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,12.74,1,01/07/1979,0,21,9,20,0.0,0.0,1802.26,1802.26,807.66,994.6,0.0,0.0,0.0,01/07/2021,294.96,01/01/2022,0.0,1,INDIVIDUAL,2021
1234,38485198,41278973,7000,7000,7000.0,36 months,9.49,224.2,B,B2,10+ years,MORTGAGE,27600.0,Verified,2021-01-01,Charged Off,n,credit_card,20.39,0,01/07/2000,0,31,9,19,0.0,0.0,1748.22,1748.22,510.54,157.68,0.0,1080.0,194.4,01/07/2021,1.5,01/01/2022,0.0,1,INDIVIDUAL,2021
1252,38484720,41278465,20000,20000,20000.0,36 months,14.99,693.21,C,C5,9 years,RENT,60000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,18.8,0,01/01/2006,1,31,7,11,0.0,0.0,4807.53,4807.53,892.29,477.47,0.0,3437.77,618.7986,01/03/2021,693.21,01/08/2021,0.0,1,INDIVIDUAL,2021
1264,38484264,41277986,4000,4000,4000.0,36 months,17.86,144.33,D,D5,10+ years,MORTGAGE,75000.0,Not Verified,2021-01-01,Charged Off,n,other,35.04,0,01/07/1998,1,31,12,34,0.0,0.0,713.71,713.71,436.79,276.92,0.0,0.0,0.0,01/06/2021,144.33,01/01/2022,0.0,1,INDIVIDUAL,2021
1301,38475656,41269465,12000,12000,12000.0,60 months,17.14,299.14,D,D4,10+ years,RENT,47000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,32.48,5,01/06/1999,1,15,15,46,0.0,0.0,1771.99,1771.99,794.34,977.65,0.0,0.0,0.0,01/07/2021,299.14,01/01/2022,0.0,1,INDIVIDUAL,2021
1371,38465473,41259256,5000,5000,5000.0,36 months,10.49,162.49,B,B3,10+ years,RENT,30000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.8,1,01/04/1994,0,10,18,39,0.0,0.0,1294.09,1294.09,979.84,314.25,0.0,0.0,0.0,01/09/2021,162.49,01/12/2021,0.0,1,INDIVIDUAL,2021
1404,38464514,41258252,27500,27500,27500.0,36 months,12.99,926.46,C,C2,2 years,MORTGAGE,86000.0,Verified,2021-01-01,Charged Off,n,small_business,20.57,0,01/02/1998,2,31,21,44,0.0,0.0,6496.25,6496.25,1264.35,548.88,0.0,4683.02,842.9436,01/03/2021,926.46,01/08/2021,0.0,1,INDIVIDUAL,2021
1520,38525080,41238868,15000,15000,15000.0,60 months,17.14,373.92,D,D4,10+ years,MORTGAGE,100000.0,Source Verified,2021-01-01,Charged Off,n,credit_card,25.57,0,01/09/1997,2,31,24,51,0.0,0.0,2214.95,2214.95,992.89,1222.06,0.0,0.0,0.0,01/07/2021,373.92,01/01/2022,0.0,1,INDIVIDUAL,2021
1526,38524692,41238457,9125,9125,9125.0,36 months,13.66,310.37,C,C3,< 1 year,MORTGAGE,56000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,37.38,0,01/02/1984,1,37,11,27,0.0,0.0,2158.74,2158.74,1495.79,662.95,0.0,0.0,0.0,01/08/2021,310.37,01/01/2022,0.0,1,INDIVIDUAL,2021
1530,38524475,41238219,18700,18700,18700.0,60 months,20.99,505.8,E,E4,10+ years,MORTGAGE,71000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,31.73,0,01/06/1989,0,81,15,38,0.0,0.0,1979.59,1979.59,733.8,1245.79,0.0,0.0,0.0,01/05/2021,505.8,01/01/2022,0.0,1,INDIVIDUAL,2021
1569,38445589,41229369,12800,12000,12800.0,36 months,13.507328482328484,431.23,C,C2,10+ years,OWN,95000.0,Verified,2021-01-01,Charged Off,n,credit_card,37.92,0,01/06/1987,0,31,21,44,0.0,0.0,2599.7,2599.7,1800.93,777.21,21.56,0.0,0.0,01/07/2021,884.02,01/07/2021,0.0,1,INDIVIDUAL,2021
1571,38445485,41229265,5000,5000,5000.0,36 months,23.99,196.14,F,F2,< 1 year,RENT,50000.0,Verified,2021-01-01,Charged Off,n,other,18.31,0,01/10/2006,3,31,11,13,0.0,0.0,777.9,777.9,396.42,381.48,0.0,0.0,0.0,01/05/2021,196.14,01/12/2021,0.0,1,INDIVIDUAL,2021
1607,38444556,41228298,20000,20000,20000.0,60 months,24.99,586.91,F,F4,1 year,OWN,66972.0,Source Verified,2021-01-01,Charged Off,n,house,18.01,0,01/03/1987,0,34,6,9,0.0,0.0,3493.69,3493.69,1077.19,2416.5,0.0,0.0,0.0,01/07/2021,586.91,01/01/2022,0.0,1,INDIVIDUAL,2021
1626,38436227,41220018,14700,14700,14700.0,60 months,19.99,389.38,E,E3,1 year,RENT,41000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,19.23,0,01/04/2005,2,80,9,16,0.0,0.0,1930.57,1930.57,746.99,1183.58,0.0,0.0,0.0,01/06/2021,389.38,01/12/2021,0.0,1,INDIVIDUAL,2021
1628,38436207,41219998,5950,5950,5950.0,36 months,19.99,221.1,E,E3,< 1 year,MORTGAGE,32000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,36.57,0,01/10/2005,3,79,10,24,0.0,0.0,1304.15,1304.15,763.06,541.09,0.0,0.0,0.0,01/07/2021,221.1,01/01/2022,0.0,1,INDIVIDUAL,2021
1653,38435613,41219386,25850,25850,25850.0,60 months,25.99,773.81,G,G4,10+ years,MORTGAGE,81000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,17.36,0,01/07/2001,3,31,15,31,0.0,0.0,6153.16,6153.16,1847.05,4306.11,0.0,0.0,0.0,01/09/2021,773.81,01/01/2022,0.0,1,INDIVIDUAL,2021
1658,38435482,41219251,14325,14325,14325.0,60 months,19.99,379.45,E,E3,7 years,RENT,48000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,20.4,0,01/12/1995,0,31,13,27,0.0,0.0,4861.97,4861.97,727.94,1269.13,0.0,2864.9,515.682,01/06/2021,379.45,01/09/2021,0.0,1,INDIVIDUAL,2021
1698,38434199,41217913,35000,35000,35000.0,36 months,13.66,1190.45,C,C3,2 years,OWN,84012.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,25.34,0,01/03/1995,0,31,17,29,0.0,0.0,8306.72,8306.72,1593.08,734.7,0.0,5978.94,1076.2092,01/03/2021,1190.45,01/08/2021,0.0,1,INDIVIDUAL,2021
1745,38424657,41208403,35000,35000,35000.0,36 months,13.507328482328484,1107.63,B,B1,9 years,OWN,160000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,13.43,0,01/02/2003,0,31,21,36,0.0,0.0,6612.06,6612.06,5222.06,1390.0,0.0,0.0,0.0,01/07/2021,1107.63,01/12/2021,0.0,1,INDIVIDUAL,2021
1777,38414781,41198572,15000,15000,15000.0,60 months,19.99,397.33,E,E3,2 years,RENT,83200.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,13.11,0,01/04/1997,0,36,17,32,0.0,0.0,1989.86,1989.86,759.29,1210.7,19.87,0.0,0.0,01/06/2021,397.33,01/12/2021,0.0,1,INDIVIDUAL,2021
1820,38413524,41197260,28425,28425,28425.0,36 months,16.49,1006.23,D,D3,7 years,MORTGAGE,75000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,28.0,0,01/09/2003,2,31,24,32,0.0,0.0,9165.87,9165.87,5855.13,3310.74,0.0,0.0,0.0,01/10/2021,1006.23,01/01/2022,0.0,1,INDIVIDUAL,2021
1835,38382327,41166106,10000,10000,10000.0,36 months,7.49,311.02,A,A4,10+ years,MORTGAGE,92000.0,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,4.04,0,01/04/1998,1,78,4,10,0.0,0.0,306.86,306.86,248.6,58.26,0.0,0.0,0.0,01/02/2021,311.02,01/02/2021,0.0,1,INDIVIDUAL,2021
1842,38381980,41165742,6150,6150,6150.0,36 months,18.54,224.01,E,E1,< 1 year,RENT,87000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,20.91,2,01/07/2003,0,11,15,29,0.0,0.0,659.36,659.36,399.19,260.17,0.0,0.0,0.0,01/04/2021,224.01,01/01/2022,0.0,1,INDIVIDUAL,2021
1878,38372035,41155807,20000,20000,20000.0,36 months,8.67,632.93,B,B1,7 years,RENT,77000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,14.1,4,01/04/1996,0,1,14,45,0.0,0.0,3145.38,3145.38,2477.69,667.69,0.0,0.0,0.0,01/06/2021,632.93,01/12/2021,0.0,1,INDIVIDUAL,2021
1909,38362347,41146110,24000,24000,24000.0,60 months,17.86,607.62,D,D5,7 years,RENT,72000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,17.22,0,01/05/1992,2,31,12,29,0.0,0.0,2382.85,2382.85,1024.27,1358.58,0.0,0.0,0.0,01/05/2021,607.62,01/12/2021,0.0,1,INDIVIDUAL,2021
1918,38361826,41145579,35000,35000,35000.0,60 months,24.99,1027.1,F,F4,6 years,RENT,120000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.1,0,01/08/2001,1,29,10,26,0.0,0.0,4011.22,4011.22,1230.68,2780.54,0.0,0.0,0.0,01/05/2021,1027.1,01/12/2021,0.0,1,INDIVIDUAL,2021
1960,38352130,41135889,12000,12000,12000.0,36 months,19.99,317.86,E,E3,8 years,MORTGAGE,60000.0,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.1,0,01/08/2006,0,31,8,33,0.0,0.0,3061.29,3061.29,359.81,567.12,0.0,2134.36,384.1848,01/04/2021,317.86,01/09/2021,0.0,1,INDIVIDUAL,2021
1963,38351933,41135686,5000,5000,5000.0,36 months,13.507328482328484,177.0,D,D3,7 years,RENT,32000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,29.93,3,01/11/2004,1,22,6,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/01/2022,0.0,01/01/2022,0.0,1,INDIVIDUAL,2021
1994,38342053,41125800,14400,14400,14400.0,60 months,13.507328482328484,405.87,F,F1,1 year,RENT,85000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,11.34,0,01/01/1995,3,31,25,44,0.0,0.0,1586.7,1586.7,535.09,1051.61,0.0,0.0,0.0,01/05/2021,405.87,01/12/2021,0.0,1,INDIVIDUAL,2021
2013,38341391,41125118,25000,25000,25000.0,60 months,24.99,733.64,F,F4,2 years,RENT,70704.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,17.87,0,01/06/2011,1,31,5,12,0.0,0.0,6682.23,6682.23,652.45,1479.05,0.0,4550.73,819.1314,01/04/2021,733.64,01/09/2021,0.0,1,INDIVIDUAL,2021
2027,38331938,41115688,8950,8950,8950.0,36 months,15.99,314.62,D,D2,9 years,RENT,43000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,19.15,0,01/05/2003,1,31,6,11,0.0,0.0,1242.58,1242.58,797.2,445.38,0.0,0.0,0.0,01/05/2021,314.62,01/01/2022,0.0,1,INDIVIDUAL,2021
2028,38331779,41115526,20000,20000,20000.0,36 months,14.31,686.57,C,C4,7 years,RENT,92000.0,Source Verified,2021-01-01,Charged Off,n,debt_consolidation,12.92,2,01/06/2001,1,6,15,26,0.0,0.0,4162.9,4162.9,448.07,206.7,0.0,3508.13,631.4634,01/02/2021,686.57,01/07/2021,0.0,1,INDIVIDUAL,2021
2052,38321923,41105674,35000,35000,35000.0,36 months,19.24,1287.22,E,E2,< 1 year,MORTGAGE,124800.0,Verified,2021-01-01,Charged Off,n,house,13.62,0,01/04/2001,3,35,19,45,0.0,0.0,8696.09,8696.09,914.22,1585.4,64.36,6132.11,1103.7798,01/04/2021,1351.58,01/08/2021,0.0,1,INDIVIDUAL,2021
