id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
38584674,41368421,5000,5000,5000.0,36 months,8.19,157.13,A,A5,10+ years,MORTGAGE,38000.0,Not Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,16.52,0,01/08/1998,1,74,9,22,3599.81,3599.81,1726.15,1726.15,1400.19,325.96,0.0,0.0,0.0,01/12/2021,157.13,01/01/2022,0.0,1,INDIVIDUAL,2021
38584217,41367939,6000,6000,6000.0,36 months,17.14,214.34,D,D4,10+ years,RENT,54000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,7.07,0,01/06/1986,5,31,11,34,4773.84,4773.84,1917.63,1917.63,1226.16,691.47,0.0,0.0,0.0,01/10/2021,214.34,01/01/2022,0.0,1,INDIVIDUAL,2021
38575250,41359039,22950,22950,22950.0,60 months,17.86,581.04,D,D5,10+ years,RENT,50000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,38.98,1,01/04/2000,1,0,17,34,20388.41,20388.41,6368.67,6368.67,2561.59,3807.08,0.0,0.0,0.0,01/01/2022,581.04,01/01/2022,0.0,1,INDIVIDUAL,2021
38574917,41358683,27975,27975,27975.0,60 months,15.99,680.15,D,D2,2 years,MORTGAGE,56000.0,Source Verified,2021-01-01,Late (31-120 days),n,credit_card,28.14,0,01/01/1997,0,31,12,29,24715.89,24715.89,6751.8,6751.8,3259.11,3492.69,0.0,0.0,0.0,01/11/2021,680.15,01/01/2022,0.0,1,INDIVIDUAL,2021
38574588,41358341,6000,6000,6000.0,36 months,10.49,194.99,B,B3,4 years,MORTGAGE,116883.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,19.56,0,01/05/1968,2,51,12,25,4671.36,4671.36,1747.92,1747.92,1328.64,419.28,0.0,0.0,0.0,01/10/2021,194.99,01/01/2022,0.0,1,INDIVIDUAL,2021
38566153,41349980,6575,6575,6575.0,36 months,13.507328482328484,241.82,E,E2,10+ years,RENT,25000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,28.9,0,01/04/1992,1,31,7,10,5422.96,5422.96,1942.53,1942.53,1152.04,775.49,15.0,0.0,0.0,01/10/2021,498.64,01/01/2022,0.0,1,INDIVIDUAL,2021
38564282,41348004,24000,24000,24000.0,36 months,13.66,816.31,C,C3,8 years,MORTGAGE,85000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,10.52,0,01/08/2004,2,31,7,34,19478.02,19478.02,6562.57,6562.57,4521.98,2040.59,0.0,0.0,0.0,01/09/2021,884.83,01/01/2022,0.0,1,INDIVIDUAL,2021
38554630,41338379,22875,22875,22875.0,60 months,13.66,528.24,C,C3,2 years,RENT,52000.0,Source Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,8.86,0,01/02/2002,0,39,4,20,19755.14,19755.14,5775.92,5775.92,3119.86,2656.06,0.0,0.0,0.0,01/12/2021,528.24,01/01/2022,0.0,1,INDIVIDUAL,2021
38546215,41330005,10000,10000,10000.0,36 months,8.67,316.47,B,B1,< 1 year,RENT,62000.0,Source Verified,2021-01-01,Late (31-120 days),n,credit_card,20.62,0,01/12/1996,1,31,14,26,7737.42,7737.42,2843.41,2843.41,2262.58,580.83,0.0,0.0,0.0,01/10/2021,316.47,01/01/2022,0.0,1,INDIVIDUAL,2021
38545597,41329371,8400,8400,8400.0,36 months,9.49,269.04,B,B2,10+ years,RENT,60000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,20.54,0,01/10/2004,0,31,15,36,6300.25,6300.25,2685.97,2685.97,2099.75,586.22,0.0,0.0,0.0,01/11/2021,269.04,01/01/2022,0.0,1,INDIVIDUAL,2021
38545000,41328768,3500,3500,3500.0,36 months,17.14,125.03,D,D4,3 years,MORTGAGE,26400.0,Not Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,11.82,0,01/08/1999,0,31,4,25,2613.03,2613.03,1372.0,1372.0,886.97,485.03,0.0,0.0,0.0,01/12/2021,125.03,01/01/2022,0.0,1,INDIVIDUAL,2021
38544587,41328327,21000,21000,21000.0,60 months,19.99,556.26,E,E3,10+ years,MORTGAGE,60000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,32.84,3,01/03/2001,0,9,11,28,18787.11,18787.11,5543.77,5543.77,2212.89,3303.07,27.81,0.0,0.0,01/11/2021,556.26,01/01/2022,0.0,1,INDIVIDUAL,2021
38534737,41318486,35000,35000,34900.0,36 months,11.99,1162.34,B,B5,10+ years,OWN,150000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,1.95,1,01/05/2002,0,2,4,11,26498.41,26422.7,11704.46,11671.02,8501.59,3202.87,0.0,0.0,0.0,01/11/2021,1290.03,01/01/2022,0.0,1,INDIVIDUAL,2021
38516037,41309849,11200,11200,11200.0,60 months,21.99,309.27,E,E5,8 years,RENT,75000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,17.76,0,01/07/1998,1,31,12,32,10312.38,10312.38,2460.48,2460.48,887.62,1572.86,0.0,0.0,0.0,01/09/2021,309.27,01/01/2022,0.0,1,INDIVIDUAL,2021
38515886,41309693,24000,24000,24000.0,36 months,15.59,838.92,D,D1,10+ years,MORTGAGE,60000.0,Verified,2021-01-01,Late (31-120 days),n,credit_card,11.82,4,01/03/1989,3,14,7,53,19586.23,19586.23,6690.57,6690.57,4413.77,2276.8,0.0,0.0,0.0,01/09/2021,838.92,01/01/2022,0.0,1,INDIVIDUAL,2021
38515576,41309368,2400,2400,2400.0,36 months,14.99,83.19,C,C5,< 1 year,RENT,33000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,13.75,0,01/03/1996,0,31,13,34,1896.47,1896.47,746.71,746.71,503.53,243.18,0.0,0.0,0.0,01/10/2021,83.19,01/01/2022,0.0,1,INDIVIDUAL,2021
38515000,41308767,24250,12000,24250.0,60 months,13.507328482328484,622.94,E,E1,10+ years,MORTGAGE,110000.0,Verified,2021-01-01,Late (31-120 days),n,other,34.97,0,01/01/2004,0,28,20,50,21587.3,21587.3,6204.42,6204.42,2662.7,3541.72,0.0,0.0,0.0,01/11/2021,622.94,01/01/2022,0.0,1,INDIVIDUAL,2021
38506296,41300107,12000,12000,12000.0,60 months,16.49,294.96,D,D3,7 years,RENT,48000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,36.16,0,01/03/2008,0,31,8,15,10615.95,10615.95,2938.61,2938.61,1384.05,1554.56,0.0,0.0,0.0,01/11/2021,294.96,01/01/2022,0.0,1,INDIVIDUAL,2021
38505495,41299285,6225,6225,6225.0,36 months,15.99,218.83,D,D2,10+ years,RENT,44000.0,Source Verified,2021-01-01,Late (31-120 days),n,credit_card,11.7,1,01/10/1988,1,15,10,16,4914.37,4914.37,2225.79,2225.79,1310.63,885.16,30.0,0.0,0.0,01/01/2022,230.0,01/01/2022,1.0,1,INDIVIDUAL,2021
38504809,41298566,12000,12000,12000.0,60 months,14.99,285.42,C,C5,9 years,OWN,32000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,11.14,0,01/03/1993,0,31,6,14,10556.2,10556.2,2560.22,2560.22,1443.8,1116.42,0.0,0.0,0.0,01/09/2021,285.42,01/01/2022,0.0,1,INDIVIDUAL,2021
38504800,41298557,20850,20850,20850.0,36 months,18.54,759.44,E,E1,4 years,RENT,58000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,29.44,0,01/04/1997,1,31,12,14,16167.65,16167.65,7589.42,7589.42,4682.35,2869.1,37.97,0.0,0.0,01/11/2021,1556.85,01/01/2022,0.0,1,INDIVIDUAL,2021
38495859,41289652,9250,9250,9250.0,36 months,15.59,323.34,D,D1,10+ years,RENT,59500.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,14.84,0,01/03/1985,1,45,9,16,6962.29,6962.29,3581.07,3581.07,2287.71,1261.02,32.34,0.0,0.0,01/01/2022,679.02,01/01/2022,0.0,1,INDIVIDUAL,2021
38495394,41289170,28000,28000,27900.0,36 months,13.507328482328484,886.1,B,B1,10+ years,MORTGAGE,65318.0,Verified,2021-01-01,Late (31-120 days),n,credit_card,32.67,0,01/06/1996,0,31,7,32,20935.34,20860.57,8834.03,8802.48,7064.66,1769.37,0.0,0.0,0.0,01/11/2021,886.1,01/01/2022,0.0,1,INDIVIDUAL,2021
38486147,41279951,21000,21000,21000.0,60 months,14.31,492.02,C,C4,7 years,MORTGAGE,101280.0,Source Verified,2021-01-01,Late (31-120 days),n,credit_card,12.99,0,01/07/2009,3,48,10,13,18450.19,18450.19,5103.5,5103.5,2549.81,2553.69,0.0,0.0,0.0,01/01/2022,200.0,01/01/2022,0.0,1,INDIVIDUAL,2021
38486127,41279931,9450,9450,9450.0,36 months,16.49,334.53,D,D3,10+ years,RENT,50000.0,Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,34.76,0,01/06/1993,1,48,15,34,7042.22,7042.22,3671.17,3671.17,2407.78,1263.39,0.0,0.0,0.0,01/12/2021,334.53,01/01/2022,0.0,1,INDIVIDUAL,2021
38485993,41279794,19500,19500,19500.0,36 months,19.24,717.17,E,E2,9 years,MORTGAGE,54392.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,11.08,0,01/10/2003,0,31,7,13,16076.3,16076.3,5716.52,5716.52,3423.7,2292.82,0.0,0.0,0.0,01/09/2021,717.17,01/01/2022,0.0,1,INDIVIDUAL,2021
38485435,41279220,23875,23875,23875.0,60 months,15.59,575.41,D,D1,5 years,MORTGAGE,62000.0,Source Verified,2021-01-01,Late (31-120 days),n,home_improvement,38.4,1,01/06/1966,1,15,13,23,21360.01,21360.01,5247.92,5247.92,2514.99,2732.93,0.0,0.0,0.0,01/10/2021,575.41,01/01/2022,0.0,1,INDIVIDUAL,2021
38484173,41277888,5000,5000,5000.0,36 months,13.66,170.07,C,C3,6 years,MORTGAGE,30000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,16.12,0,01/09/2005,1,46,10,14,3980.19,3980.19,1523.04,1523.04,1019.81,503.23,0.0,0.0,0.0,01/11/2021,170.07,01/01/2022,0.0,1,INDIVIDUAL,2021
38475937,41269753,6775,6775,6775.0,36 months,13.507328482328484,214.41,B,B1,< 1 year,RENT,40000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,30.33,0,01/11/1998,0,57,12,20,5417.35,5417.35,1708.75,1708.75,1357.65,351.1,0.0,0.0,0.0,01/09/2021,214.41,01/01/2022,0.0,1,INDIVIDUAL,2021
38475910,41269725,12150,12150,12150.0,36 months,16.49,430.11,D,D3,3 years,RENT,65000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,11.82,0,01/02/2009,1,31,12,15,9647.22,9647.22,3859.86,3859.86,2502.78,1357.08,0.0,0.0,0.0,01/10/2021,430.11,01/01/2022,0.0,1,INDIVIDUAL,2021
38475014,41268799,18000,18000,18000.0,36 months,16.49,637.19,D,D3,10+ years,MORTGAGE,83000.0,Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,16.05,0,01/06/1998,5,33,15,21,13404.64,13404.64,6976.11,6976.11,4595.36,2380.75,0.0,0.0,0.0,01/12/2021,637.19,01/01/2022,0.0,1,INDIVIDUAL,2021
38465907,41259703,15000,15000,15000.0,36 months,11.44,494.22,B,B4,3 years,MORTGAGE,45000.0,Not Verified,2021-01-01,Late (31-120 days),n,credit_card,29.55,0,01/09/1994,0,31,12,43,11715.76,11715.76,4438.45,4438.45,3284.24,1154.21,0.0,0.0,0.0,01/10/2021,494.22,01/01/2022,0.0,1,INDIVIDUAL,2021
38456294,41250125,35000,35000,35000.0,60 months,20.99,946.68,E,E4,< 1 year,MORTGAGE,88000.0,Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,25.26,0,01/01/1994,0,55,11,28,30981.55,30981.55,10331.85,10331.85,4018.45,6313.4,0.0,0.0,0.0,01/12/2021,946.68,01/01/2022,0.0,1,INDIVIDUAL,2021
38455307,41249104,3000,3000,3000.0,36 months,11.99,99.63,B,B5,< 1 year,RENT,15500.0,Not Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,7.51,0,01/01/2010,0,31,16,28,2194.35,2194.35,1091.93,1091.93,805.65,286.28,0.0,0.0,0.0,01/12/2021,99.63,01/01/2022,0.0,1,INDIVIDUAL,2021
38526061,41239886,10000,10000,10000.0,60 months,15.59,241.01,D,D1,2 years,OWN,35000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,26.75,0,01/03/2003,1,31,8,25,8821.82,8821.82,2392.78,2392.78,1178.18,1214.6,0.0,0.0,0.0,01/11/2021,241.01,01/01/2022,0.0,1,INDIVIDUAL,2021
38524647,41238410,20000,20000,20000.0,36 months,11.44,658.95,B,B4,10+ years,MORTGAGE,45000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,24.21,0,01/09/2002,0,35,20,24,15115.9,15115.9,6597.03,6597.03,4884.1,1679.98,32.95,0.0,0.0,01/11/2021,1350.85,01/01/2022,0.0,1,INDIVIDUAL,2021
38446095,41229890,20000,20000,20000.0,36 months,15.59,699.1,D,D1,10+ years,MORTGAGE,56453.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,10.2,0,01/02/1995,1,57,12,31,15341.42,15341.42,6956.36,6956.36,4658.58,2297.78,0.0,0.0,0.0,01/11/2021,699.1,01/01/2022,0.0,1,INDIVIDUAL,2021
38445626,41229406,15000,15000,14900.0,36 months,9.49,480.43,B,B2,10+ years,RENT,50000.0,Verified,2021-01-01,Late (31-120 days),n,credit_card,12.03,2,01/04/1995,1,7,13,35,11876.12,11796.94,4360.96,4331.89,3123.88,1237.08,0.0,0.0,0.0,01/01/2022,280.43,01/01/2022,0.0,1,INDIVIDUAL,2021
38425881,41209669,5275,5275,5275.0,36 months,17.14,188.44,D,D4,2 years,RENT,82000.0,Not Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,11.37,1,01/02/1996,0,7,11,22,4197.01,4197.01,1690.94,1690.94,1077.99,612.95,0.0,0.0,0.0,01/10/2021,188.44,01/01/2022,0.0,1,INDIVIDUAL,2021
38425569,41209347,18000,18000,18000.0,60 months,10.49,386.81,B,B3,10+ years,RENT,65000.0,Source Verified,2021-01-01,Late (31-120 days),n,credit_card,24.59,0,01/10/1998,1,31,9,18,15613.0,15613.0,3857.61,3857.61,2387.0,1470.61,0.0,0.0,0.0,01/11/2021,386.81,01/01/2022,0.0,1,INDIVIDUAL,2021
38382389,41166170,21000,21000,20950.0,60 months,18.54,539.46,E,E1,5 years,MORTGAGE,94000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,9.08,1,01/02/2000,1,11,12,44,19183.98,19138.3,4294.05,4283.83,1816.02,2478.03,0.0,0.0,0.0,01/09/2021,539.46,01/01/2022,0.0,1,INDIVIDUAL,2021
38381495,41165240,1000,1000,1000.0,36 months,16.49,35.4,D,D3,< 1 year,RENT,18000.0,Not Verified,2021-01-01,Late (31-120 days),n,car,33.8,0,01/01/2005,0,54,19,28,818.17,818.17,281.37,281.37,181.83,99.54,0.0,0.0,0.0,01/09/2021,35.4,01/01/2022,0.0,1,INDIVIDUAL,2021
38381273,41164998,35000,35000,35000.0,60 months,18.54,899.09,E,E1,10+ years,RENT,105000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,22.95,0,01/08/1977,2,31,15,44,31973.38,31973.38,7102.6,7102.6,3026.62,4075.98,0.0,0.0,0.0,01/09/2021,899.09,01/01/2022,0.0,1,INDIVIDUAL,2021
38362350,41146113,35000,35000,34700.0,60 months,13.507328482328484,808.24,C,C3,3 years,MORTGAGE,230000.0,Verified,2021-01-01,Late (31-120 days),n,major_purchase,18.63,0,01/02/2000,1,31,14,36,31139.11,30872.2,7247.6,7185.48,3860.89,3386.71,0.0,0.0,0.0,01/10/2021,808.24,01/01/2022,0.0,1,INDIVIDUAL,2021
38361332,41145059,30000,30000,30000.0,36 months,20.99,1130.1,E,E4,7 years,RENT,64000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,33.17,1,01/09/1991,1,11,14,25,24166.65,24166.65,10361.06,10361.06,5833.35,4471.21,56.5,0.0,0.0,01/11/2021,1130.1,01/01/2022,0.0,1,INDIVIDUAL,2021
38352680,41136450,12000,12000,12000.0,60 months,15.99,291.76,D,D2,1 year,RENT,66100.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,33.24,0,01/07/1998,0,54,9,18,10748.0,10748.0,2604.52,2604.52,1252.0,1352.52,0.0,0.0,0.0,01/10/2021,291.76,01/01/2022,0.0,1,INDIVIDUAL,2021
38342132,41125881,15000,15000,15000.0,36 months,13.507328482328484,498.15,B,B5,1 year,MORTGAGE,84000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,22.97,0,01/04/2001,0,31,16,28,12114.39,12114.39,3965.22,3965.22,2885.61,1079.61,0.0,0.0,0.0,01/09/2021,498.15,01/01/2022,0.0,1,INDIVIDUAL,2021
38341607,41125346,24900,24900,24900.0,60 months,14.31,583.39,C,C4,< 1 year,MORTGAGE,105000.0,Verified,2021-01-01,Late (31-120 days),n,credit_card,14.23,0,01/12/1999,1,31,9,18,22510.38,22510.38,4627.53,4627.53,2389.62,2237.91,0.0,0.0,0.0,01/09/2021,583.39,01/01/2022,0.0,1,INDIVIDUAL,2021
38321428,41105159,19200,19200,19200.0,36 months,17.14,685.88,D,D4,< 1 year,MORTGAGE,60000.0,Not Verified,2021-01-01,Late (31-120 days),n,other,35.16,0,01/06/1998,0,58,21,63,15737.46,15737.46,5450.47,5450.47,3462.54,1987.93,0.0,0.0,0.0,01/09/2021,685.88,01/01/2022,0.0,1,INDIVIDUAL,2021
38311693,41095436,2500,2500,2500.0,36 months,9.49,80.08,B,B2,10+ years,MORTGAGE,60000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,28.56,0,01/08/1996,1,80,22,38,1939.73,1939.73,718.08,718.08,560.27,157.81,0.0,0.0,0.0,01/10/2021,80.08,01/01/2022,0.0,1,INDIVIDUAL,2021
38302549,41086326,15000,15000,15000.0,36 months,9.49,480.43,B,B2,7 years,RENT,122000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,14.94,1,01/03/1998,1,1,25,53,11253.49,11253.49,4820.41,4820.41,3746.51,1049.88,24.02,0.0,0.0,01/11/2021,480.43,01/01/2022,0.0,1,INDIVIDUAL,2021
38302135,41085897,16075,16075,16075.0,36 months,19.24,591.2,E,E2,10+ years,MORTGAGE,61000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,22.49,0,01/07/1997,2,29,9,65,12496.44,12496.44,5894.82,5894.82,3578.56,2316.26,0.0,0.0,0.0,01/12/2021,591.2,01/01/2022,0.0,1,INDIVIDUAL,2021
38292445,41076208,10000,10000,10000.0,60 months,17.86,253.18,D,D5,10+ years,RENT,45000.0,Verified,2021-01-01,Late (16-30 days),n,other,21.2,0,01/03/1993,0,39,8,16,8774.66,8774.66,2765.14,2765.14,1225.34,1539.8,0.0,0.0,0.0,01/01/2022,253.18,01/01/2022,0.0,1,INDIVIDUAL,2021
38291817,41075564,25425,25425,25375.0,60 months,8.67,523.72,B,B1,8 years,MORTGAGE,350000.0,Source Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,23.89,0,01/10/1998,0,58,19,39,21546.64,21504.27,5736.43,5725.15,3878.36,1858.07,0.0,0.0,0.0,01/12/2021,523.72,01/01/2022,0.0,1,INDIVIDUAL,2021
38291186,41074901,5250,5250,5250.0,36 months,19.24,193.09,E,E2,4 years,RENT,36899.0,Source Verified,2021-01-01,Late (31-120 days),n,moving,31.29,0,01/04/2003,0,31,12,40,4078.81,4078.81,1919.68,1919.68,1171.19,748.49,0.0,0.0,0.0,01/11/2021,193.09,01/01/2022,0.0,1,INDIVIDUAL,2021
38282561,41066338,22300,22300,22300.0,36 months,17.86,804.64,D,D5,9 years,MORTGAGE,125000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,7.99,0,01/10/1978,0,31,10,38,17243.07,17243.07,8002.15,8002.15,5056.93,2945.22,0.0,0.0,0.0,01/11/2021,804.64,01/01/2022,0.0,1,INDIVIDUAL,2021
38282473,41066247,8000,8000,8000.0,36 months,14.31,274.63,C,C4,10+ years,RENT,30189.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,30.89,0,01/06/1993,3,33,24,44,6112.22,6112.22,2733.58,2733.58,1887.78,845.8,0.0,0.0,0.0,01/12/2021,274.63,01/01/2022,0.0,1,INDIVIDUAL,2021
38282392,41066163,14750,14750,14750.0,60 months,24.5,428.62,F,F3,7 years,RENT,49200.0,Verified,2021-01-01,Late (16-30 days),n,debt_consolidation,32.22,0,01/06/2005,0,31,8,20,13218.83,13218.83,4674.67,4674.67,1531.17,3143.5,0.0,0.0,0.0,01/12/2021,857.24,01/01/2022,0.0,1,INDIVIDUAL,2021
38282023,41065776,5000,5000,5000.0,36 months,15.99,175.77,D,D2,4 years,RENT,86000.0,Verified,2021-01-01,Late (16-30 days),n,car,24.92,0,01/11/1990,3,25,31,36,3717.66,3717.66,1924.59,1924.59,1282.34,642.25,0.0,0.0,0.0,01/12/2021,175.77,01/01/2022,0.0,1,INDIVIDUAL,2021
38281641,41065389,15000,15000,15000.0,36 months,13.507328482328484,524.33,D,D1,10+ years,RENT,49900.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,31.12,0,01/04/1992,3,36,18,26,11876.06,11876.06,4692.99,4692.99,3123.94,1569.05,0.0,0.0,0.0,01/10/2021,524.33,01/01/2022,0.0,1,INDIVIDUAL,2021
38252276,41036049,10750,10750,10750.0,36 months,20.99,404.96,E,E4,6 years,RENT,30000.0,Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,32.24,0,01/10/1992,2,31,16,30,8540.36,8540.36,3862.1,3862.1,2209.64,1652.46,0.0,0.0,0.0,01/01/2022,65.0,01/01/2022,0.0,1,INDIVIDUAL,2021
38252077,41035840,35000,35000,35000.0,36 months,18.54,1274.84,E,E1,8 years,MORTGAGE,140000.0,Source Verified,2021-01-01,Late (31-120 days),n,debt_consolidation,13.96,1,01/10/1999,0,15,7,23,26725.2,26725.2,13951.14,13951.14,8274.8,5661.34,15.0,0.0,0.0,01/01/2022,1274.84,01/01/2022,0.0,1,INDIVIDUAL,2021
38251262,41034979,11675,11675,11675.0,60 months,24.5,339.27,F,F3,10+ years,RENT,50000.0,Verified,2021-01-01,Late (31-120 days),n,credit_card,19.97,0,01/01/1996,1,31,15,32,10568.01,10568.01,3716.08,3716.08,1106.99,2609.09,0.0,0.0,0.0,01/01/2022,339.27,01/01/2022,0.0,1,INDIVIDUAL,2021
